2019-05-30 17:37:28.177125: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2019-05-30 17:37:28.204130: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 3000000000 Hz
2019-05-30 17:37:28.204333: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x55ec1336d430 executing computations on platform Host. Devices:
2019-05-30 17:37:28.204348: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
WARNING:tensorflow:From /home/ckg/cartpole_impala/impala.py:37: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /home/ckg/cartpole_impala/core.py:15: dense (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.dense instead.
WARNING:tensorflow:From /home/ckg/anaconda3/envs/tensorflow-cpu/lib/python3.6/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From /home/ckg/anaconda3/envs/tensorflow-cpu/lib/python3.6/site-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
thread_1 85 90.0 0.6446454816394382
thread_3 88 72.0 0.6676694510711564
thread_1 86 37.0 0.6424250135550628
thread_3 89 33.0 0.6563405719670382
thread_0 88 118.0 0.6539769965713307
thread_3 90 50.0 0.6857994651794433
thread_0 89 65.0 0.641639637030088
thread_3 91 58.0 0.6627560083208413
thread_0 90 42.0 0.6824575747762408
thread_3 92 39.0 0.6499367539699261
thread_1 87 189.0 0.6366726216815767
thread_0 91 28.0 0.6847045102289745
thread_2 81 316.0 0.6407823291005967
thread_1 88 21.0 0.6998035311698914
thread_3 93 48.0 0.6577231449385484
thread_0 92 48.0 0.6727689156929652
thread_3 94 38.0 0.657170002397738
thread_2 82 99.0 0.6729242976265725
thread_1 89 97.0 0.6691038878922609
thread_3 95 56.0 0.6995662951043674
thread_1 90 13.0 0.7953697351308969
thread_2 83 34.0 0.7156096977346084
thread_3 96 21.0 0.7597998664492652
thread_2 84 77.0 0.6613936687444711
thread_0 93 165.0 0.6362963340499185
thread_3 97 108.0 0.6684025581236239
thread_0 94 79.0 0.6746106789081912
thread_1 91 182.0 0.649012593122629
thread_3 98 69.0 0.6698284062786378
thread_2 85 122.0 0.6580530595583994
thread_3 99 94.0 0.6788552783905192
thread_0 95 147.0 0.6598578091381359
thread_2 86 128.0 0.6512090880423784
thread_3 100 106.0 0.6818841723900921
thread_1 92 231.0 0.6472147101963753
thread_3 101 47.0 0.6876955615713242
thread_3 102 28.0 0.7150413415261677
thread_2 87 129.0 0.6660715789757958
thread_2 88 74.0 0.6851925124993196
thread_1 93 127.0 0.6727458501425315
thread_0 96 285.0 0.6679340768278691
thread_3 103 156.0 0.6765894351097254
thread_0 97 117.0 0.6700919647502084
thread_1 94 186.0 0.6610410591607453
thread_2 89 245.0 0.660091453182454
thread_3 104 167.0 0.6811943279055064
thread_1 95 94.0 0.7123586338885287
thread_0 98 142.0 0.6712123671887626
thread_3 105 120.0 0.6598561768730481
thread_2 90 164.0 0.6635653830882979
thread_1 96 116.0 0.7088380784823977
thread_0 99 120.0 0.6601937721172969
thread_2 91 93.0 0.7064990792223202
thread_1 97 97.0 0.6806470278612117
thread_3 106 176.0 0.6890425621108576
thread_2 92 97.0 0.7065355955939931
thread_0 100 170.0 0.6787565813345068
thread_2 93 77.0 0.7178593912681976
thread_0 101 80.0 0.6978571608662605
thread_3 107 198.0 0.67625617047753
thread_1 98 309.0 0.6816163780619797
thread_0 102 122.0 0.6946254152743543
thread_2 94 163.0 0.681698372393298
thread_0 103 121.0 0.7007709322882093
thread_3 108 264.0 0.6981643217079567
thread_2 95 185.0 0.6753248733443182
thread_0 104 207.0 0.6747975107552349
thread_1 99 333.0 0.6775202709991295
thread_2 96 174.0 0.6620616792947397
thread_0 105 44.0 0.7539025436748158
thread_1 100 173.0 0.6919167779084575
thread_3 109 348.0 0.6880610288902261
thread_0 106 201.0 0.6827679190469619
thread_2 97 339.0 0.6928837624623009
thread_1 101 212.0 0.6712652149627794
thread_0 107 202.0 0.7195388359008449
thread_3 110 293.0 0.6839414548141558
thread_1 102 148.0 0.6937782977883881
thread_2 98 204.0 0.6948088600355036
thread_1 103 155.0 0.709793366924409
thread_2 99 144.0 0.7183747535778416
thread_3 111 225.0 0.6902660867902968
thread_0 108 500.0 0.7013521777391434
thread_2 100 237.0 0.6909825620771963
thread_0 109 79.0 0.7266285547727271
thread_1 104 334.0 0.6876788979875827
thread_3 112 305.0 0.7006750063818009
thread_3 113 142.0 0.7008077279782631
thread_1 105 199.0 0.7032539368274823
thread_2 101 345.0 0.697687654218812
thread_0 110 425.0 0.6916665907467113
thread_3 114 325.0 0.6947340088624221
thread_2 102 247.0 0.7023629348287698
thread_0 111 229.0 0.6868392156201159
thread_1 106 500.0 0.6959565463066101
thread_3 115 283.0 0.6954025023817595
thread_2 103 417.0 0.6816162248309567
thread_1 107 370.0 0.7050018445865528
thread_3 116 345.0 0.69752889888874
thread_0 112 500.0 0.7037357223033905
thread_2 104 365.0 0.7053011098953142
thread_1 108 242.0 0.7090261130293539
thread_3 117 291.0 0.692650976459595
thread_0 113 327.0 0.7006586137532459
thread_2 105 257.0 0.70579062036967
thread_0 114 100.0 0.7154156225919723
thread_1 109 335.0 0.7132350106737507
thread_3 118 263.0 0.6983789652019399
thread_3 119 46.0 0.810436962739281
thread_0 115 254.0 0.7109980294554252
thread_2 106 267.0 0.7200655466161864
thread_1 110 348.0 0.7039014005112922
thread_3 120 348.0 0.7025450010751856
thread_0 116 304.0 0.7063162815021841
thread_2 107 396.0 0.7054963253363215
thread_0 117 118.0 0.7496253464181545
thread_3 121 279.0 0.7145804299248589
thread_1 111 500.0 0.7125589722394943
thread_2 108 330.0 0.7116251430728219
thread_1 112 143.0 0.7330464220547176
thread_0 118 500.0 0.7184575802087784
thread_1 113 165.0 0.7385806123415629
thread_3 122 500.0 0.7160700560808182
thread_2 109 500.0 0.7233516228199005
thread_1 114 252.0 0.7245480091798873
thread_0 119 413.0 0.7198058573154791
thread_3 123 416.0 0.7081886985554144
thread_1 115 246.0 0.7383268739634413
thread_1 116 204.0 0.7454541112278023
thread_2 110 500.0 0.7379436328411102
thread_0 120 500.0 0.7203033103942871
thread_3 124 429.0 0.7353953150880365
thread_3 125 182.0 0.7361324861809447
thread_1 117 500.0 0.7226894701719284
thread_2 111 500.0 0.7510117251873016
thread_1 118 136.0 0.7590802723870558
thread_2 112 121.0 0.7421560208659527
thread_0 121 500.0 0.7253745222091674
